1,hsa05033,Nicotine addiction 0.430656 No No [60],
2,hsa05217,Basal cell carcinoma 0.402534 No No [49, 50]
3,hsa04740,Olfactory transduction 0.398952 No No [61, 62]
4,hsa04742,Taste transduction 0.393069 No No [63, 64]
5,hsa04340,Hedgehog signaling pathway 0.376035 No No [65, 66]
6,hsa04727,GABAergic synapse 0.362031 No No [67],
7,hsa04713,Circadian entrainment 0.356687 No No [68, 69]
8,hsa00053,Ascorbate and aldarate metabolism 0.35363 No No [70],
9,hsa04723,Retrograde endocannabinoid signaling 0.343314 No No [71â€?3],
10,hsa04978, Mineral absorption 0.342461 No No [74],
11,hsa04961, Endocrine and other factor-regulated calcium reabsorption 0.341614 No No [75â€?7],
12,hsa00140, Steroid hormone biosynthesis 0.337664 No No [78, 79]
13,hsa04966, Collecting duct acid secretion 0.336179 No No Not Found,
14,hsa04330, Notch signaling pathway 0.333964 No No [80, 81]
15,hsa04614, Renin,
